,NMI,ARI,homogeneity,completeness,fowlkes_mallows
monocle,0.5125562954618291,0.2731752538457593,0.3500377138367163,0.9567772192632473,0.539834814007183
scanpy,0.6778289949303555,0.4129949896950053,0.7703934319970324,0.6051222480630093,0.5102031155983308
scvi-tools,0.7373425047002556,0.5479190936579674,0.7707481647065209,0.706712279159785,0.617916905188252
seurat,0.7538006796544958,0.5244708301733506,0.8194476690670676,0.6978916932400147,0.6030376241963684
COTAN,0.6773169190946438,0.39417894084819133,0.8723524574926604,0.5535560463002305,0.5159648415711113
