,NMI,ARI,homogeneity,completeness,fowlkes_mallows
monocle,0.6062516437037762,0.3948233056803432,0.5835632466542369,0.6307756137373434,0.4675471573309374
scanpy,0.684938851121872,0.49558401937488106,0.6457853040833939,0.7291465359561096,0.5609521411771877
scvi-tools,0.6736918445155075,0.48454292791613135,0.6294493426923565,0.7246239433524736,0.5511562543686088
seurat,0.6878486895670161,0.5143977651056192,0.6656126836016437,0.7116217110272882,0.5746288806269416
COTAN,0.6295019043544277,0.4108677790193717,0.5753630817735346,0.6948873719590402,0.494383625139007
