,NMI,ARI,homogeneity,completeness,fowlkes_mallows
monocle,0.6177140121929593,0.4977171654323323,0.4566204874111494,0.9544336354920566,0.6675913010426222
scanpy,0.6901809989444628,0.35523831895215024,0.815725106124837,0.5981264027879802,0.4714385537023845
scvi-tools,0.7287720785633354,0.4696293625933841,0.7847761928225668,0.6802287975028432,0.5603436149961368
seurat,0.7580581640543942,0.47745168469272387,0.8537521109277096,0.6816540575947655,0.5763610132346043
COTAN,0.6941282735756583,0.3732135683505725,0.8430346538599974,0.5899284016948376,0.4827138301211377
