,NMI,ARI,homogeneity,completeness,fowlkes_mallows
monocle,0.6722940688646555,0.3803241387139526,0.7399090279231632,0.6160020742311968,0.48245830903681663
scanpy,0.7125168624337453,0.4485218807182399,0.798837998444697,0.6430318821651251,0.5474776846393448
scvi-tools,0.7400493475364988,0.4747907315429451,0.8254540377804027,0.6706602278552837,0.5716434935489207
seurat,0.7582281062742445,0.47634444850424396,0.8541445107534142,0.6816787897379767,0.5754194098235768
COTAN,0.7116690278576446,0.458361515089625,0.7428369258917353,0.6830112895482344,0.5473412530445253
