,NMI,ARI,homogeneity,completeness,fowlkes_mallows
monocle,0.6119884478756072,0.42592936017036875,0.4462991335372592,0.9733441074921421,0.6355023337085999
scanpy,0.6596454274398761,0.39120304655901245,0.7955771800447118,0.5633857396292357,0.5077296416386329
scvi-tools,0.7085808688814874,0.5510508754649588,0.7762275773741074,0.6517795605782701,0.6327503730072717
seurat,0.73834428826345,0.6430966600765916,0.7641457522294454,0.7142282927164582,0.7060180418497205
COTAN,0.7114224249701999,0.5799121032292389,0.7999334242980963,0.6405471871906719,0.6573433000286409
