,NMI,ARI,homogeneity,completeness,fowlkes_mallows
monocle,0.7157773009998281,0.6332174999330428,0.7072025364493979,0.7245625541396123,0.6987975353073218
scanpy,0.7364655046160306,0.6450727366904796,0.7692730195813281,0.7063418424356821,0.7079269873706081
scvi-tools,0.746354595168991,0.6505666852630145,0.7578641265581659,0.7351894200270831,0.7122138059661914
seurat,0.7398129030161287,0.6406162114278041,0.7676208522268754,0.7139492687155535,0.704048496437447
COTAN,0.704411339887256,0.5992089732294514,0.7069654845598821,0.7018755841491708,0.669952948368898
