,NMI,ARI,homogeneity,completeness,fowlkes_mallows
monocle,0.5864767028036569,0.43415374835639425,0.41909955042200586,0.9764412082177486,0.6415861948579404
scanpy,0.7079908462993487,0.36369963168436203,0.8216750861864625,0.6219411336755986,0.483364541595893
scvi-tools,0.7599840130229306,0.5407220657959368,0.8033655225063142,0.7210476454625949,0.6262313819344907
seurat,0.7702338026295354,0.5885028305078698,0.7706316924267617,0.7698363234943498,0.6619074105851501
COTAN,0.7605311862237331,0.57302555194716,0.8245447391207604,0.7057409673303651,0.6538855002327728
