,NMI,ARI,homogeneity,completeness,fowlkes_mallows
monocle,0.5890381572248341,0.26761143886694394,0.6963252373435672,0.5103980186979176,0.39823115301234474
scanpy,0.6881234523681542,0.3348034172099739,0.8177987600475854,0.593943966673795,0.46964802862076904
scvi-tools,0.7132252695569259,0.3769250842769904,0.8146085531358039,0.6342844789725282,0.49871237091819876
seurat,0.7215080945764872,0.3652693428988595,0.850945522146869,0.6262492452053078,0.4962333844871247
COTAN,0.6995301307139754,0.4573741186669786,0.7285568797005045,0.6727276963108728,0.5604188142504883
