,NMI,ARI,homogeneity,completeness,fowlkes_mallows
monocle,0.2773140728430184,0.10713493965837641,0.16553418431721392,0.8539774946710336,0.45059414606749876
scanpy,0.6826040399424195,0.5241094287400087,0.7593880714333857,0.6199218601429561,0.6023106639759257
scvi-tools,0.6528911281698068,0.48596113788191164,0.7343034352018586,0.5877294912992252,0.5678466129314721
seurat,0.7436806987330639,0.6799410611770579,0.7776496405907586,0.7125551836669304,0.7306031122679824
COTAN,0.7099311826231622,0.6329333285242312,0.7997810930081432,0.6382303843203772,0.6936325621669682
