,NMI,ARI,homogeneity,completeness,fowlkes_mallows
monocle,0.40800819206689243,0.2456993503506204,0.2574391320786692,0.9828502291810275,0.5634965068634352
scanpy,0.7117695208684411,0.41176072999659613,0.814608067508609,0.6319857580423142,0.5329936412938757
scvi-tools,0.6990620755692426,0.3904310636465984,0.8034042473992588,0.6187074152106538,0.5114129935707681
seurat,0.7651805522472377,0.5141737044300283,0.8260237744686327,0.7126855890186754,0.6140143192685987
COTAN,0.7355829112664408,0.46538514039563583,0.8665408571457451,0.6390109386573142,0.5793871566934407
